# Корпус текстов Survival Mode - SM-1 (Северная тайга, только погода).
# Формат: ключ | текст. Несколько строк с одним ключом = варианты.
# Тон: сдержанный полевой дневник. Природа безразлична. Без восклицаний.

# --- прибытие (тик 0), {plan} = план дней ---
start.winter | Лагерь поставлен к сумеркам. Снег глубокий, тишина такая, что слышно собственное дыхание. Впереди {plan} дней.
start.spring | Лагерь поставлен на сухом пригорке. Внизу шумит талая вода. Впереди {plan} дней.
start.summer | Лагерь поставлен у ручья. Тайга стоит густая, пахнет хвоей и болотом. Впереди {plan} дней.
start.autumn | Лагерь поставлен на высоком берегу. Тайга рыжая, тихая, вода в реке тёмная. Впереди {plan} дней.

# --- смена сезона ---
season.to_winter | Осень кончилась как-то разом. Это уже зима.
season.to_spring | Днём на солнце капель. Зима отступает, нехотя.
season.to_summer | Ночи стали короткие и тёплые. Пришло лето.
season.to_autumn | Берёзы пожелтели за несколько дней. Осень.

# --- осадки ---
wx.rain_start | К полудню натянуло тучи. Пошёл дождь.
wx.rain_start | Дождь начался ночью — мелкий, обложной.
wx.rain_start | С запада пришёл дождь. Тайга шумит глухо и ровно.
wx.rain_stop | Дождь кончился. С веток ещё долго капает.
wx.rain_stop | К утру распогодилось. Пахнет мокрой хвоей.
wx.heavy_rain | Ливень стеной. Ручей у лагеря вздулся и помутнел.
wx.heavy_rain | Льёт так, что за брезентом не видно ближних елей.
wx.thunder | Гроза прошла краем. Гром долго катился за сопками.
wx.thunder | Днём собралась гроза. Воздух после неё звенит.
wx.sleet_start | Пошёл мокрый снег. Ложится и тает, всё серое.
wx.sleet_start | С неба сыплет не то дождь, не то снег. Промозгло.
wx.snow_first | Утром всё белое. Первый снег этой экспедиции.
wx.snow_first | Первый снег. Лёг тонко, к полудню сошёл, но зима уже дала о себе знать.
wx.snow_start | Снег идёт с самого утра — ровный, спокойный.
wx.snow_start | Пошёл снег. Тайга глохнет, звуки вязнут.
wx.snow_stop | Снегопад кончился. Лес стоит переписанный набело.
wx.snow_stop | Прояснилось. На свежем снегу ни одной отметины.
wx.blizzard | Метель. В десяти шагах ничего не видно, из лагеря лучше не выходить.
wx.blizzard | К ночи разыгралась метель. Палатку трясёт, снег набивается во все щели.
wx.storm | Штормовой ветер. Лес стонет, где-то ломаются сухие вершины.
wx.storm | Буря. Весь день ушёл на то, чтобы удержать лагерь.

# --- температура ---
wx.cold_snap | Резко похолодало, днём {temp}°. Дым от костра стоит столбом.
wx.cold_snap | Мороз окреп: {temp}°. Снег скрипит по-особому, звонко.
wx.thaw | Оттепель. С еловых лап сходит снег, в воздухе — почти весна.
wx.thaw | Потеплело до {temp}°. Наст просел, идти тяжело.
wx.heat | Жара, {temp}°. Тайга стоит душная, смолистая, всё живое попряталось до вечера.
wx.heat | Днём {temp}°. Ручей у лагеря обмелел заметно.

# --- прочее небо ---
wx.clear_streak | Наконец ясно. Небо высокое, холодное.
wx.clear_streak | Распогодилось впервые за неделю. Даль открылась до самых сопок.
wx.fog | Утро в тумане. Дальше полусотни шагов — молоко.
wx.fog | Туман лёг с ночи и держался до полудня. Лагерь как остров.
wx.fog | Река парит, туман ползёт по низинам.
wx.wind_strong | Поднялся сильный ветер. По верховьям идёт ровный гул.
wx.wind_strong | Ветер весь день. Костёр приходится закрывать спиной.

# --- сводка тихого дня: {sky}, {wind}, {temp} подставляются из живых данных ---
digest | {sky}, {temp}°, {wind}.
digest | День спокойный: {sky}, {temp}°, {wind}.
digest | По сводке: {sky}, {wind}, {temp}°.
digest | {temp}°, {sky}. Ветер: {wind}.
digest | Без происшествий. {sky}, {temp}°, {wind}.

# --- бытовые зарисовки тихих дней ---
ambient | Ночью далеко кричала неясыть.
ambient | Над рекой весь вечер стоял пар.
ambient | День прошёл ровно. Записывать нечего — и это тоже хорошо.
ambient | Костёр, чай, тишина.
ambient | Подшивал снаряжение, слушал лес.
ambient | На востоке весь день что-то погромыхивало — не то гром, не то показалось.
ambient | Утром на палатке иней. Или роса — не разобрал спросонья.
ambient | Разобрал записи за прошлые дни. Половину не разобрать — писал замёрзшими руками.

# --- завершение, {days} = прожито дней ---
end.success | Срок вышел. Лагерь свёрнут, тропа назад отмечена зарубками. {days} {daysW} в тайге.
end.success | Экспедиция завершена — все {days} {daysW}, как и было задумано. Тайга остаётся.
end.voluntary | Решено сворачиваться раньше срока. {days} {daysW} — тоже срок. Тайга никуда не денется.
end.voluntary | Экспедиция прервана на {days}-й день. Причины останутся в этом дневнике между строк.

# --- финальная сводка ---
final.summary | Итог: {days} {daysW}. Дождливых — {rain}, снежных — {snow}. Температура от {tmin}° до {tmax}°.
final.first_snow | Первый снег выпал на {day}-й день.
final.storms | Бурь и метелей пережито: {storms}.
